		aaa	alan	benji	david	ethan	matt	max	Zach M	Zach N		Median	Avg Median
but	4	1.062	0.369	0.211	0.305	0.525	0.454	0.516	0.301	0.400	 	0.400	0.152
oun	4	0.369	0.341	0.274	0.444	0.897	0.437	0.898	0.368	0.439	 	0.437	0.148
rden	6	0.449	0.423	0.517	0.647	0.682	0.476	0.573	0.812	0.700	 	0.573	0.108
bu	4	0.781	0.202	0.093	0.141	0.163	0.221	0.292	0.149	0.219	 	0.202	0.107
gard	6	0.633	0.408	0.457	0.686	0.930	0.660	0.566	0.738	0.666	 	0.660	0.106
king	5	0.948	0.501	0.377	0.613	0.539	0.518	0.665	0.612	0.485	 	0.539	0.106
one	6	0.397	0.265	0.178	0.423	0.384	0.310	0.774	0.336	0.269	 	0.336	0.106
gold	4	0.793	0.451	0.314	0.542	0.505	0.493	0.612	0.613	0.617	 	0.542	0.097
atch	5	0.628	0.393	0.447	0.595	0.678	0.590	0.724	0.525	0.785	 	0.595	0.096
tha	4	0.599	0.252	0.208	0.375	0.257	0.366	0.462	0.240	0.257	 	0.257	0.094
ener	4	0.471	0.498	0.376	0.713	0.411	0.538	0.683	0.599	0.569	 	0.538	0.090
ver	4	0.274	0.261	0.230	0.552	0.412	0.257	0.482	0.246	0.350	 	0.274	0.089
ples	4	0.475	0.421	0.405	0.595	0.665	0.522	0.502	0.455	0.766	 	0.502	0.088
arde	6	0.517	0.411	0.530	0.648	0.742	0.539	0.657	0.639	0.708	 	0.639	0.084
gar	6	0.452	0.283	0.236	0.470	0.534	0.462	0.337	0.365	0.400	 	0.400	0.078
gol	4	0.589	0.293	0.248	0.382	0.355	0.317	0.479	0.438	0.385	 	0.382	0.075
ow	4	0.159	0.145	0.118	0.213	0.106	0.157	0.541	0.240	0.132	 	0.157	0.072
wat	5	0.444	0.311	0.235	0.471	0.458	0.427	0.607	0.379	0.463	 	0.444	0.072
atc	5	0.501	0.269	0.377	0.432	0.525	0.471	0.520	0.396	0.569	 	0.471	0.071
rde	8	0.333	0.278	0.392	0.397	0.561	0.333	0.428	0.378	0.532	 	0.392	0.066
tch	5	0.374	0.252	0.321	0.352	0.492	0.313	0.369	0.279	0.522	 	0.352	0.066
les	4	0.323	0.279	0.226	0.409	0.411	0.358	0.344	0.286	0.527	 	0.344	0.066
be	4	0.140	0.102	0.064	0.183	0.354	0.099	0.201	0.167	0.249	 	0.167	0.065
appl	5	0.541	0.462	0.460	0.569	0.661	0.545	0.794	0.533	0.532	 	0.541	0.065
on	13	0.206	0.167	0.099	0.224	0.120	0.191	0.494	0.188	0.162	 	0.188	0.063
kin	5	0.708	0.344	0.253	0.376	0.341	0.328	0.384	0.333	0.332	 	0.341	0.063
lde	4	0.358	0.345	0.233	0.326	0.437	0.337	0.303	0.406	0.553	 	0.345	0.062
ner	4	0.307	0.307	0.233	0.397	0.285	0.369	0.572	0.319	0.350	 	0.319	0.062
tc	5	0.241	0.112	0.250	0.186	0.340	0.207	0.159	0.149	0.301	 	0.207	0.058
ene	4	0.290	0.260	0.269	0.492	0.241	0.373	0.344	0.366	0.337	 	0.337	0.057
fe	7	0.312	0.163	0.102	0.220	0.308	0.235	0.161	0.148	0.192	 	0.192	0.056
den	9	0.288	0.297	0.288	0.397	0.335	0.262	0.341	0.433	0.464	 	0.335	0.056
ot	4	0.190	0.125	0.114	0.192	0.143	0.432	0.203	0.143	0.178	 	0.178	0.055
app	6	0.381	0.312	0.269	0.356	0.364	0.387	0.597	0.370	0.308	 	0.364	0.055
ther	6	0.586	0.371	0.329	0.512	0.386	0.410	0.451	0.425	0.400	 	0.410	0.054
ap	6	0.239	0.155	0.123	0.200	0.166	0.224	0.381	0.225	0.140	 	0.200	0.054
ard	7	0.385	0.294	0.384	0.454	0.581	0.396	0.399	0.439	0.450	 	0.399	0.052
ere	4	0.344	0.515	0.244	0.348	0.349	0.309	0.406	0.280	0.368	 	0.348	0.051
ga	7	0.275	0.117	0.127	0.190	0.303	0.176	0.124	0.186	0.231	 	0.186	0.051
pple	5	0.466	0.403	0.418	0.544	0.547	0.449	0.508	0.434	0.554	 	0.466	0.050
der	4	0.302	0.426	0.273	0.372	0.412	0.312	0.395	0.341	0.439	 	0.372	0.049
was	10	0.345	0.277	0.250	0.406	0.401	0.302	0.413	0.319	0.369	 	0.345	0.049
we	5	0.271	0.189	0.104	0.207	0.274	0.168	0.128	0.188	0.117	 	0.188	0.047
and	11	0.266	0.293	0.190	0.401	0.261	0.276	0.422	0.299	0.274	 	0.276	0.047
at	17	0.289	0.145	0.107	0.246	0.274	0.264	0.203	0.201	0.200	 	0.203	0.047
tr	4	0.197	0.176	0.103	0.187	0.291	0.153	0.134	0.262	0.234	 	0.187	0.046
ki	5	0.510	0.177	0.178	0.174	0.219	0.181	0.162	0.192	0.184	 	0.181	0.046
old	4	0.306	0.326	0.238	0.381	0.387	0.376	0.377	0.318	0.438	 	0.376	0.044
st	7	0.255	0.251	0.145	0.230	0.337	0.301	0.300	0.178	0.247	 	0.251	0.044
ght	4	0.259	0.241	0.197	0.313	0.276	0.263	0.496	0.258	0.261	 	0.261	0.044
or	9	0.156	0.159	0.088	0.217	0.169	0.202	0.341	0.138	0.167	 	0.167	0.043
her	6	0.278	0.218	0.167	0.368	0.248	0.299	0.299	0.272	0.226	 	0.272	0.043
id	4	0.108	0.118	0.091	0.181	0.237	0.221	0.110	0.156	0.142	 	0.142	0.041
al	6	0.202	0.163	0.109	0.217	0.202	0.139	0.321	0.202	0.162	 	0.202	0.041
se	7	0.149	0.206	0.093	0.233	0.234	0.145	0.226	0.168	0.153	 	0.168	0.040
me	6	0.151	0.125	0.096	0.179	0.136	0.159	0.353	0.136	0.158	 	0.151	0.040
ry	4	0.162	0.115	0.233	0.191	0.191	0.210	0.314	0.162	0.219	 	0.191	0.039
ea	8	0.158	0.160	0.151	0.273	0.277	0.192	0.122	0.193	0.166	 	0.166	0.038
ple	5	0.308	0.243	0.268	0.390	0.367	0.313	0.296	0.295	0.369	 	0.308	0.037
ing	12	0.347	0.311	0.191	0.390	0.294	0.335	0.340	0.309	0.283	 	0.311	0.037
of	7	0.253	0.146	0.103	0.163	0.086	0.153	0.223	0.149	0.131	 	0.149	0.036
ir	6	0.168	0.158	0.096	0.186	0.180	0.288	0.199	0.133	0.143	 	0.168	0.036
ou	9	0.198	0.154	0.077	0.211	0.189	0.255	0.167	0.140	0.184	 	0.184	0.035
the	40	0.282	0.246	0.189	0.336	0.226	0.251	0.326	0.268	0.235	 	0.251	0.035
ar	12	0.207	0.164	0.116	0.247	0.246	0.252	0.165	0.194	0.200	 	0.200	0.035
as	15	0.156	0.108	0.118	0.205	0.205	0.154	0.230	0.151	0.200	 	0.156	0.034
om	4	0.161	0.158	0.080	0.235	0.284	0.180	0.168	0.162	0.165	 	0.165	0.034
ppl	5	0.318	0.288	0.329	0.360	0.417	0.310	0.348	0.308	0.401	 	0.329	0.033
ha	8	0.239	0.119	0.104	0.174	0.103	0.177	0.154	0.118	0.132	 	0.132	0.033
eep	4	0.304	0.357	0.360	0.327	0.359	0.281	0.410	0.280	0.363	 	0.357	0.033
it	8	0.259	0.146	0.087	0.188	0.135	0.171	0.114	0.130	0.142	 	0.142	0.033
go	6	0.179	0.100	0.100	0.154	0.121	0.133	0.195	0.216	0.126	 	0.133	0.033
ve	7	0.146	0.150	0.092	0.205	0.229	0.135	0.148	0.115	0.201	 	0.148	0.033
rd	13	0.212	0.176	0.239	0.213	0.327	0.186	0.235	0.232	0.263	 	0.232	0.031
so	5	0.112	0.134	0.101	0.181	0.110	0.140	0.173	0.238	0.138	 	0.138	0.031
es	6	0.187	0.171	0.130	0.190	0.307	0.210	0.201	0.164	0.198	 	0.190	0.029
ne	10	0.159	0.110	0.107	0.197	0.166	0.176	0.225	0.135	0.150	 	0.159	0.029
de	14	0.147	0.162	0.172	0.194	0.226	0.140	0.166	0.202	0.252	 	0.172	0.029
el	6	0.212	0.154	0.156	0.214	0.248	0.162	0.166	0.167	0.216	 	0.167	0.028
ed	9	0.150	0.154	0.210	0.214	0.243	0.186	0.226	0.255	0.226	 	0.214	0.028
un	6	0.229	0.183	0.183	0.217	0.280	0.155	0.212	0.201	0.247	 	0.212	0.028
to	12	0.170	0.132	0.098	0.171	0.112	0.157	0.206	0.152	0.116	 	0.152	0.027
ol	5	0.112	0.188	0.164	0.217	0.230	0.213	0.185	0.190	0.236	 	0.190	0.027
ch	6	0.123	0.126	0.075	0.163	0.145	0.108	0.174	0.147	0.194	 	0.145	0.027
en	14	0.140	0.129	0.130	0.196	0.125	0.125	0.151	0.207	0.196	 	0.140	0.027
is	5	0.187	0.143	0.092	0.197	0.145	0.171	0.174	0.123	0.131	 	0.145	0.027
ho	4	0.137	0.206	0.102	0.202	0.195	0.206	0.182	0.221	0.177	 	0.195	0.026
no	6	0.173	0.170	0.075	0.215	0.164	0.146	0.192	0.162	0.138	 	0.164	0.026
ni	6	0.154	0.176	0.098	0.178	0.174	0.157	0.227	0.121	0.166	 	0.166	0.025
hi	7	0.142	0.170	0.085	0.169	0.134	0.141	0.218	0.142	0.169	 	0.142	0.025
nd	16	0.150	0.112	0.087	0.181	0.126	0.157	0.191	0.136	0.131	 	0.136	0.025
wa	17	0.180	0.166	0.126	0.227	0.235	0.158	0.154	0.178	0.184	 	0.178	0.025
ut	7	0.193	0.167	0.126	0.177	0.243	0.220	0.179	0.175	0.200	 	0.179	0.023
pl	5	0.163	0.138	0.185	0.197	0.234	0.154	0.184	0.168	0.216	 	0.184	0.023
ai	5	0.179	0.230	0.130	0.200	0.199	0.119	0.181	0.185	0.178	 	0.181	0.023
ld	7	0.185	0.148	0.083	0.171	0.161	0.185	0.134	0.166	0.184	 	0.166	0.022
an	19	0.141	0.136	0.114	0.198	0.146	0.128	0.195	0.160	0.162	 	0.146	0.022
er	21	0.144	0.161	0.103	0.194	0.149	0.144	0.214	0.137	0.152	 	0.149	0.021
he	46	0.136	0.114	0.082	0.177	0.107	0.141	0.164	0.133	0.127	 	0.133	0.021
im	4	0.163	0.201	0.172	0.239	0.179	0.206	0.214	0.161	0.200	 	0.200	0.020
le	11	0.161	0.116	0.100	0.186	0.136	0.159	0.170	0.140	0.153	 	0.153	0.020
ee	8	0.133	0.182	0.186	0.173	0.203	0.123	0.177	0.177	0.216	 	0.177	0.020
co	5	0.116	0.120	0.097	0.149	0.133	0.160	0.181	0.139	0.116	 	0.133	0.020
ng	14	0.173	0.139	0.109	0.199	0.166	0.200	0.171	0.157	0.158	 	0.166	0.020
in	18	0.162	0.168	0.093	0.199	0.134	0.145	0.170	0.150	0.148	 	0.150	0.020
ep	4	0.187	0.181	0.185	0.170	0.148	0.158	0.207	0.137	0.147	 	0.170	0.019
ht	4	0.135	0.124	0.109	0.174	0.118	0.136	0.182	0.107	0.134	 	0.134	0.019
gh	4	0.114	0.110	0.098	0.144	0.141	0.116	0.163	0.154	0.131	 	0.131	0.018
th	49	0.158	0.125	0.102	0.155	0.124	0.112	0.168	0.138	0.120	 	0.125	0.018
ro	6	0.145	0.124	0.128	0.158	0.151	0.165	0.120	0.157	0.180	 	0.151	0.016
re	11	0.175	0.135	0.145	0.205	0.177	0.164	0.155	0.154	0.153	 	0.155	0.015
pp	7	0.162	0.154	0.152	0.158	0.187	0.148	0.174	0.146	0.185	 	0.158	0.012
ll	6	0.140	0.155	0.152	0.151	0.204	0.163	0.161	0.156	0.169	 	0.156	0.011
